congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 97.45, 100, 100.27, 100
cubic, 0.0001, 68.67, 100, 100.27, 100
cubic, 0.001, 10.69, 100, 100.27, 100
cubic, 0.01, 1.46, 100, 100.27, 100
cubic, 0.02, 0.87, 100, 100.27, 100
cubic, 0.05, 0.59, 100, 100.27, 100
cubic, 0.1, 0.36, 100, 100.27, 100
cubic, 0.15, 0.3, 100, 100.27, 100
cubic, 0.2, 0.23, 100, 100.27, 100
cubic, 0.25, 0.18, 100, 100.27, 100
cubic, 0.3, 0.16, 100, 100.27, 100
cubic, 0.4, 0.12, 100, 100.27, 100
cubic, 0.5, 0.0, 100, 100.27, 100
bbr, 1e-05, 94.93, 100, 100.27, 100
bbr, 0.0001, 94.99, 100, 100.27, 100
bbr, 0.001, 94.17, 100, 100.26, 100
bbr, 0.01, 85.36, 100, 100.27, 100
bbr, 0.02, 83.66, 100, 100.27, 100
bbr, 0.05, 77.47, 100, 100.27, 100
bbr, 0.1, 72.1, 100, 100.27, 100
bbr, 0.15, 70.01, 100, 100.27, 100
bbr, 0.2, 65.41, 100, 100.27, 100
bbr, 0.25, 64.6, 100, 100.27, 100
bbr, 0.3, 60.1, 100, 100.27, 100
bbr, 0.4, 56.17, 100, 100.27, 100
bbr, 0.5, 0.55, 100, 100.27, 100
bic, 1e-05, 97.12, 100, 100.27, 100
bic, 0.0001, 69.73, 100, 100.27, 100
bic, 0.001, 14.11, 100, 100.27, 100
bic, 0.01, 1.88, 100, 100.27, 100
bic, 0.02, 1.26, 100, 100.27, 100
bic, 0.05, 0.58, 100, 100.27, 100
bic, 0.1, 0.45, 100, 100.27, 100
bic, 0.15, 0.34, 100, 100.27, 100
bic, 0.2, 0.3, 100, 100.27, 100
bic, 0.25, 0.23, 100, 100.27, 100
bic, 0.3, 0.15, 100, 100.27, 100
bic, 0.4, 0.12, 100, 100.27, 100
bic, 0.5, 0.04, 100, 100.27, 100
vegas, 1e-05, 79.51, 100, 100.27, 100
vegas, 0.0001, 24.51, 100, 100.27, 100
vegas, 0.001, 5.02, 100, 100.27, 100
vegas, 0.01, 1.53, 100, 100.27, 100
vegas, 0.02, 0.94, 100, 100.27, 100
vegas, 0.05, 0.52, 100, 100.27, 100
vegas, 0.1, 0.31, 100, 100.27, 100
vegas, 0.15, 0.23, 100, 100.27, 100
vegas, 0.2, 0.25, 100, 100.27, 100
vegas, 0.25, 0.18, 100, 100.27, 100
vegas, 0.3, 0.14, 100, 100.27, 100
vegas, 0.4, 0.11, 100, 100.27, 100
vegas, 0.5, 0.05, 100, 100.27, 100
westwood, 1e-05, 94.03, 100, 100.27, 100
westwood, 0.0001, 76.25, 100, 100.27, 100
westwood, 0.001, 14.14, 100, 100.27, 100
westwood, 0.01, 2.51, 100, 100.27, 100
westwood, 0.02, 1.87, 100, 100.27, 100
westwood, 0.05, 0.95, 100, 100.27, 100
westwood, 0.1, 0.43, 100, 100.27, 100
westwood, 0.15, 0.3, 100, 100.27, 100
westwood, 0.2, 0.29, 100, 100.27, 100
westwood, 0.25, 0.22, 100, 100.27, 100
westwood, 0.3, 0.19, 100, 100.27, 100
westwood, 0.4, 0.05, 100, 100.27, 100
westwood, 0.5, 0.01, 100, 100.27, 100
reno, 1e-05, 88.73, 100, 100.27, 100
reno, 0.0001, 52.84, 100, 100.27, 100
reno, 0.001, 4.54, 100, 100.27, 100
reno, 0.01, 1.28, 100, 100.27, 100
reno, 0.02, 1.03, 100, 100.27, 100
reno, 0.05, 0.64, 100, 100.27, 100
reno, 0.1, 0.43, 100, 100.27, 100
reno, 0.15, 0.34, 100, 100.27, 100
reno, 0.2, 0.26, 100, 100.27, 100
reno, 0.25, 0.23, 100, 100.27, 100
reno, 0.3, 0.2, 100, 100.27, 100
reno, 0.4, 0.12, 100, 100.27, 100
reno, 0.5, 0.02, 100, 100.27, 100
