congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps
cubic, 1e-05, 5.94, 100, 5.96, 100.0
cubic, 0.0001, 5.93, 100, 5.96, 100.0
cubic, 0.001, 4.42, 100, 5.96, 100.0
cubic, 0.01, 1.17, 100, 5.96, 100.0
cubic, 0.02, 0.8, 100, 5.96, 100.0
cubic, 0.05, 0.46, 100, 5.96, 100.0
cubic, 0.1, 0.3, 100, 5.96, 100.0
cubic, 0.15, 0.24, 100, 5.96, 100.0
cubic, 0.2, 0.2, 100, 5.96, 100.0
cubic, 0.25, 0.16, 100, 5.96, 100.0
cubic, 0.3, 0.13, 100, 5.96, 100.0
cubic, 0.4, 0.06, 100, 5.96, 100.0
cubic, 0.5, 0.04, 100, 5.96, 100.0
bbr, 1e-05, 5.73, 100, 5.96, 100.0
bbr, 0.0001, 5.72, 100, 5.96, 100.0
bbr, 0.001, 5.73, 100, 5.96, 100.0
bbr, 0.01, 5.72, 100, 5.96, 100.0
bbr, 0.02, 5.72, 100, 5.96, 100.0
bbr, 0.05, 5.7, 100, 5.96, 100.0
bbr, 0.1, 5.68, 100, 5.96, 100.0
bbr, 0.15, 5.69, 100, 5.96, 100.0
bbr, 0.2, 5.4, 100, 5.96, 100.0
bbr, 0.25, 5.53, 100, 5.96, 100.0
bbr, 0.3, 5.52, 100, 5.96, 100.0
bbr, 0.4, 4.32, 100, 5.96, 100.0
bbr, 0.5, 3.15, 100, 5.96, 100.0
