congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 5.94, 100, 5.96, 100
cubic, 0.0001, 5.94, 100, 5.96, 100
cubic, 0.001, 4.26, 100, 5.96, 100
cubic, 0.01, 1.15, 100, 5.96, 100
cubic, 0.02, 0.85, 100, 5.96, 100
cubic, 0.05, 0.45, 100, 5.96, 100
cubic, 0.1, 0.3, 100, 5.96, 100
cubic, 0.15, 0.23, 100, 5.96, 100
cubic, 0.2, 0.19, 100, 5.96, 100
cubic, 0.25, 0.15, 100, 5.96, 100
cubic, 0.3, 0.13, 100, 5.96, 100
cubic, 0.4, 0.06, 100, 5.96, 100
cubic, 0.5, 0.0, 100, 5.96, 100
bbr, 1e-05, 5.74, 100, 5.96, 100
bbr, 0.0001, 5.75, 100, 5.96, 100
bbr, 0.001, 5.75, 100, 5.96, 100
bbr, 0.01, 5.74, 100, 5.96, 100
bbr, 0.02, 5.73, 100, 5.96, 100
bbr, 0.05, 5.74, 100, 5.96, 100
bbr, 0.1, 5.75, 100, 5.96, 100
bbr, 0.15, 5.76, 100, 5.96, 100
bbr, 0.2, 5.49, 100, 5.96, 100
bbr, 0.25, 5.1, 100, 5.96, 100
bbr, 0.3, 4.98, 100, 5.96, 100
bbr, 0.4, 5.36, 100, 5.96, 100
bbr, 0.5, 2.49, 100, 5.96, 100
