congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 98.99, 100, 100.27, 100
cubic, 0.0001, 31.26, 100, 100.27, 100
cubic, 0.001, 5.62, 100, 100.27, 100
cubic, 0.01, 1.41, 100, 100.27, 100
cubic, 0.02, 1.03, 100, 100.27, 100
cubic, 0.05, 0.49, 100, 100.27, 100
cubic, 0.1, 0.39, 100, 100.27, 100
cubic, 0.15, 0.27, 100, 100.27, 100
cubic, 0.2, 0.22, 100, 100.27, 100
cubic, 0.25, 0.17, 100, 100.27, 100
cubic, 0.3, 0.15, 100, 100.27, 100
cubic, 0.4, 0.04, 100, 100.27, 100
cubic, 0.5, 0.03, 100, 100.27, 100
bbr, 1e-05, 95.32, 100, 100.27, 100
bbr, 0.0001, 95.41, 100, 100.27, 100
bbr, 0.001, 95.37, 100, 100.27, 100
bbr, 0.01, 95.43, 100, 100.27, 100
bbr, 0.02, 95.3, 100, 100.27, 100
bbr, 0.05, 93.32, 100, 100.26, 100
bbr, 0.1, 93.61, 100, 100.27, 100
bbr, 0.15, 94.57, 100, 100.27, 100
bbr, 0.2, 94.45, 100, 100.27, 100
bbr, 0.25, 93.44, 100, 100.27, 100
bbr, 0.3, 93.17, 100, 100.27, 100
bbr, 0.4, 92.11, 100, 100.27, 100
bbr, 0.5, 9.57, 100, 100.27, 100
